Region,district,Date,visitors
Domestic,Jayashankar Bhoopalpally,01-10-17,115250
Domestic,Jayashankar Bhoopalpally,01-11-17,116800
Domestic,Jayashankar Bhoopalpally,01-12-17,723000
Domestic,Jogulamba Gadwal ,01-01-17,214887
Domestic,Jogulamba Gadwal ,01-02-17,481110
Domestic,Jogulamba Gadwal ,01-03-17,155013
Domestic,Jogulamba Gadwal ,01-04-17,131426
Domestic,Jogulamba Gadwal ,01-05-17,131426
Domestic,Jogulamba Gadwal ,01-06-17,160182
Domestic,Jogulamba Gadwal ,01-07-17,160182
Domestic,Jogulamba Gadwal ,01-08-17,131485
Domestic,Jogulamba Gadwal ,01-09-17,123733
Domestic,Jogulamba Gadwal ,01-10-17,152898
Domestic,Jogulamba Gadwal ,01-11-17,188170
Domestic,Jogulamba Gadwal ,01-12-17,214887
Domestic,Kamareddy ,01-01-17,58
Domestic,Kamareddy ,01-02-17,50
Domestic,Kamareddy ,01-03-17,41
Domestic,Kamareddy ,01-04-17,46
Domestic,Kamareddy ,01-05-17,60
Domestic,Kamareddy ,01-06-17,41
Domestic,Kamareddy ,01-07-17,41
Domestic,Kamareddy ,01-08-17,40
Domestic,Kamareddy ,01-09-17,41
Domestic,Kamareddy ,01-10-17,38
Domestic,Kamareddy ,01-11-17,43
Domestic,Kamareddy ,01-12-17,41
Domestic,Karimnagar ,01-01-17,14425
Domestic,Karimnagar ,01-02-17,10845
Domestic,Karimnagar ,01-03-17,9625
Domestic,Karimnagar ,01-04-17,8630
Domestic,Karimnagar ,01-05-17,8890
Domestic,Karimnagar ,01-06-17,10542
Domestic,Karimnagar ,01-07-17,12350
Domestic,Karimnagar ,01-08-17,10952
Domestic,Karimnagar ,01-09-17,7576
Domestic,Karimnagar ,01-10-17,8371
Domestic,Karimnagar ,01-11-17,8705
Domestic,Karimnagar ,01-12-17,13065
Domestic,Khammam,01-01-17,132528
Domestic,Khammam,01-02-17,115470
Domestic,Khammam,01-03-17,101878
Domestic,Khammam,01-04-17,135920
Domestic,Khammam,01-05-17,138799
Domestic,Khammam,01-06-17,138158
Domestic,Khammam,01-07-17,105102
Domestic,Khammam,01-08-17,129159
Domestic,Khammam,01-09-17,140821
Domestic,Khammam,01-10-17,155943
Domestic,Khammam,01-11-17,110800
Domestic,Khammam,01-12-17,137825
Domestic,Komaram Bheem Asifabad,01-01-17,2241
Domestic,Komaram Bheem Asifabad,01-02-17,2490
Domestic,Komaram Bheem Asifabad,01-03-17,2767
Domestic,Komaram Bheem Asifabad,01-04-17,3074
Domestic,Komaram Bheem Asifabad,01-05-17,3416
Domestic,Komaram Bheem Asifabad,01-06-17,3796
Domestic,Komaram Bheem Asifabad,01-07-17,3713
Domestic,Komaram Bheem Asifabad,01-08-17,3665
Domestic,Komaram Bheem Asifabad,01-09-17,3934
Domestic,Komaram Bheem Asifabad,01-10-17,14050
Domestic,Komaram Bheem Asifabad,01-11-17,3627
Domestic,Komaram Bheem Asifabad,01-12-17,4218
Domestic,Mahabubabad ,01-01-17,13260
Domestic,Mahabubabad ,01-02-17,13045
Domestic,Mahabubabad ,01-03-17,9100
Domestic,Mahabubabad ,01-04-17,9140
Domestic,Mahabubabad ,01-05-17,10220
Domestic,Mahabubabad ,01-06-17,10130
Domestic,Mahabubabad ,01-07-17,10170
Domestic,Mahabubabad ,01-08-17,12520
Domestic,Mahabubabad ,01-09-17,13140
Domestic,Mahabubabad ,01-10-17,13750
Domestic,Mahabubabad ,01-11-17,13560
Domestic,Mahabubabad ,01-12-17,13780
Domestic,Mahbubnagar,01-01-17,446135
Domestic,Mahbubnagar,01-02-17,805392
Domestic,Mahbubnagar,01-03-17,178256
Domestic,Mahbubnagar,01-04-17,208694
Domestic,Mahbubnagar,01-05-17,214209
Domestic,Mahbubnagar,01-06-17,179210
Domestic,Mahbubnagar,01-07-17,179099
Domestic,Mahbubnagar,01-08-17,215229
Domestic,Mahbubnagar,01-09-17,180675
Domestic,Mahbubnagar,01-10-17,196103
Domestic,Mahbubnagar,01-11-17,259060
Domestic,Mahbubnagar,01-12-17,426167
Domestic,Mancherial,01-01-17,2937
Domestic,Mancherial,01-02-17,3130
Domestic,Mancherial,01-03-17,2775
Domestic,Mancherial,01-04-17,1513
Domestic,Mancherial,01-05-17,1424
Domestic,Mancherial,01-06-17,2119
Domestic,Mancherial,01-07-17,33591
Domestic,Mancherial,01-08-17,26104
Domestic,Mancherial,01-09-17,24297
Domestic,Mancherial,01-10-17,37671
Domestic,Mancherial,01-11-17,25737
Domestic,Mancherial,01-12-17,30328
Domestic,Medak ,01-01-17,523000
Domestic,Medak ,01-02-17,543321
Domestic,Medak ,01-03-17,548535
Domestic,Medak ,01-04-17,554864
Domestic,Medak ,01-05-17,556891
Domestic,Medak ,01-06-17,561469
Domestic,Medak ,01-07-17,575300
Domestic,Medak ,01-08-17,632830
Domestic,Medak ,01-09-17,696113
Domestic,Medak ,01-10-17,765724
Domestic,Medak ,01-11-17,842296
Domestic,Medak ,01-12-17,926526
Domestic,Medchal ,01-01-17,
Domestic,Medchal ,01-02-17,
Domestic,Medchal ,01-03-17,
Domestic,Medchal ,01-04-17,
Domestic,Medchal ,01-05-17,
Domestic,Medchal ,01-06-17,
Domestic,Medchal ,01-07-17,
Domestic,Medchal ,01-08-17,
Domestic,Medchal ,01-09-17,
Domestic,Medchal ,01-10-17,
Domestic,Medchal ,01-11-17,
Domestic,Medchal ,01-12-17,
Domestic,Nagarkurnool ,01-01-17,382879
Domestic,Nagarkurnool ,01-02-17,286258
Domestic,Nagarkurnool ,01-03-17,184508
Domestic,Nagarkurnool ,01-04-17,183697
Domestic,Nagarkurnool ,01-05-17,183697
Domestic,Nagarkurnool ,01-06-17,180010
Domestic,Nagarkurnool ,01-07-17,180010
Domestic,Nagarkurnool ,01-08-17,181861
Domestic,Nagarkurnool ,01-09-17,118010
Domestic,Nagarkurnool ,01-10-17,201050
Domestic,Nagarkurnool ,01-11-17,188786
Domestic,Nagarkurnool ,01-12-17,382879
Domestic,Nalgonda,01-01-17,4447
Domestic,Nalgonda,01-02-17,8652
Domestic,Nalgonda,01-03-17,8054
Domestic,Nalgonda,01-04-17,44295
Domestic,Nalgonda,01-05-17,10750
Domestic,Nalgonda,01-06-17,37879
Domestic,Nalgonda,01-07-17,21361
Domestic,Nalgonda,01-08-17,9363
Domestic,Nalgonda,01-09-17,17465
Domestic,Nalgonda,01-10-17,36066
Domestic,Nalgonda,01-11-17,17687
Domestic,Nalgonda,01-12-17,25897
Domestic,Nirmal,01-01-17,340311
Domestic,Nirmal,01-02-17,415326
